City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Colares,PT,38.7992,-9.4469,72.34,74,5,13.0,clear sky
299,Yulara,AU,-25.2406,130.9889,61.88,37,98,7.02,overcast clouds
300,Ribeira Grande,PT,38.5167,-28.7,74.23,84,100,7.58,light rain
301,Athabasca,CA,54.7169,-113.2854,70.21,23,48,15.32,scattered clouds
302,Aksu,CN,41.1231,80.2644,69.24,22,12,2.46,few clouds
303,Geraldton,AU,-28.7667,114.6,57.61,82,75,17.27,light intensity shower rain
304,Kapoeta,SS,4.7717,33.5903,71.1,84,30,4.47,light rain
305,Tuatapere,NZ,-46.1333,167.6833,45.03,68,100,9.33,overcast clouds
306,Santander,ES,43.4647,-3.8044,70.47,87,0,5.99,clear sky
307,Sao Filipe,CV,14.8961,-24.4956,79.92,80,100,3.74,light rain
308,Magan,ES,39.9683,-3.931,68.52,45,1,7.58,clear sky
309,Kiunga,PG,-6.1219,141.2906,79.11,88,100,3.36,overcast clouds
310,Belyy Yar,RU,53.6039,91.3903,46.29,87,0,0.0,clear sky
311,Oranjemund,NA,-28.55,16.4333,52.25,68,0,15.19,clear sky
312,Coahuayana,MX,18.7333,-103.6833,76.01,95,100,4.38,overcast clouds
313,Concord,US,37.978,-122.0311,114.91,13,20,10.36,few clouds
314,Cooma,AU,-36.2333,149.1333,49.06,59,20,1.99,few clouds
315,Santa Cruz Cabralia,BR,-16.2781,-39.0247,68.23,100,75,2.3,broken clouds
316,Oranjestad,AW,12.524,-70.027,85.95,74,20,10.36,few clouds
317,Almaznyy,RU,48.0448,40.045,47.71,77,60,7.27,broken clouds
318,Hoquiam,US,46.9809,-123.8893,76.44,66,0,13.8,clear sky
319,Techiman,GH,7.5862,-1.9414,69.42,98,60,4.92,broken clouds
320,Kasongo,CD,-4.45,26.6667,71.56,69,0,3.42,clear sky
321,The Pas,CA,53.8251,-101.2541,78.82,53,0,16.11,clear sky
322,Itarema,BR,-2.9248,-39.9167,78.48,84,49,18.28,scattered clouds
323,Fort Saint James,CA,54.4333,-124.25,64.0,28,85,11.5,overcast clouds
324,Teguise,ES,29.0605,-13.564,70.02,78,20,17.27,few clouds
325,Vung Tau,VN,10.346,107.0843,79.48,84,91,7.25,overcast clouds
326,Banda Aceh,ID,5.5577,95.3222,78.84,81,100,12.64,overcast clouds
327,Maniitsoq,GL,65.4167,-52.9,39.63,92,100,15.48,light rain
328,Mirnyy,RU,62.5353,113.9611,41.23,100,100,7.0,overcast clouds
329,Thessalon,CA,46.2501,-83.5666,64.69,59,11,2.8,few clouds
330,Ilulissat,GL,69.2167,-51.1,35.94,98,100,5.7,light rain
331,Muscat,OM,23.6139,58.5922,86.65,61,2,3.62,clear sky
332,Westport,US,41.1415,-73.3579,78.57,79,100,5.75,overcast clouds
333,Hrodna,BY,53.6884,23.8258,41.77,77,21,3.96,few clouds
334,Cabo San Lucas,MX,22.8909,-109.9124,90.7,82,100,1.66,overcast clouds
335,Cartagena,CO,10.3997,-75.5144,82.02,83,75,4.61,thunderstorm
336,Chuy,UY,-33.6971,-53.4616,49.6,77,0,7.0,clear sky
337,Manono,CD,-7.3,27.4167,77.32,37,1,1.3,clear sky
338,Akyab,MM,20.15,92.9,81.01,85,96,3.49,overcast clouds
339,Kupino,RU,54.3663,77.2981,62.56,38,100,4.14,overcast clouds
340,Upernavik,GL,72.7868,-56.1549,41.31,87,100,26.73,overcast clouds
341,Awjilah,LY,29.1081,21.2869,79.84,65,0,13.91,clear sky
342,Hamilton,US,39.1834,-84.5333,77.85,89,40,0.0,scattered clouds
343,Iisalmi,FI,63.5592,27.1907,38.97,94,98,3.8,overcast clouds
